,n_estimates,max_d,min_samples_split,mins_samples_leaf,TN,FN,FP,TP,roc_auc
0,300,5,2,1,19377,1215,11000,2046,0.6326494143710566
1,300,5,2,2,19378,1229,10999,2032,0.6305192933891975
2,300,5,2,3,19332,1215,11045,2046,0.6319087224001576
3,300,5,2,4,19183,1198,11194,2063,0.6320627713895736
4,300,5,2,5,19098,1200,11279,2061,0.6303570321551624
5,300,5,3,1,19440,1223,10937,2038,0.6324597655283526
6,300,5,3,2,19529,1235,10848,2026,0.6320847632456313
7,300,5,3,3,19382,1225,10995,2036,0.6311984414764811
8,300,5,3,4,19469,1220,10908,2041,0.6333970819547792
9,300,5,3,5,19585,1237,10792,2024,0.6326998588533705
10,300,5,4,1,19254,1210,11123,2051,0.6313914923184926
11,300,5,4,2,19118,1187,11259,2074,0.6326794821898623
12,300,5,4,3,19194,1198,11183,2063,0.6322438294269044
13,300,5,4,4,19396,1214,10981,2047,0.633115478181237
14,300,5,4,5,19098,1183,11279,2078,0.6329635945593329
15,300,5,5,1,19207,1197,11170,2064,0.6326111343076316
16,300,5,5,2,19441,1224,10936,2037,0.6323228981496828
17,300,5,5,3,19239,1199,11138,2062,0.6328311941975581
18,300,5,5,4,19310,1204,11067,2057,0.6332332055281943
19,300,5,5,5,19505,1229,10872,2032,0.6326096907292904
20,300,5,6,1,19143,1185,11234,2076,0.6333976321297413
21,300,5,6,2,19221,1203,11156,2058,0.6319216086082172
22,300,5,6,3,19332,1205,11045,2056,0.6334419944026107
23,300,5,6,4,19341,1203,11036,2058,0.6338967871972813
24,300,5,6,5,19393,1208,10984,2053,0.6339860619179825
25,300,5,7,1,19099,1193,11278,2068,0.6314467823784553
26,300,5,7,2,18939,1162,11438,2099,0.6335663541339748
27,300,5,7,3,19276,1209,11101,2052,0.6319069355933995
28,300,5,7,4,19465,1229,10912,2032,0.631951297866269
29,300,5,7,5,19343,1212,11034,2049,0.6325497620382243
30,300,6,2,1,19632,1203,10745,2058,0.6386865952757618
31,300,6,2,2,19602,1206,10775,2055,0.6377328190277597
32,300,6,2,3,19205,1175,11172,2086,0.6359514130698777
33,300,6,2,4,19329,1191,11048,2070,0.6355391957413187
34,300,6,2,5,19581,1227,10796,2034,0.6341672915695217
35,300,6,3,1,19573,1208,10804,2053,0.6369488298015786
36,300,6,3,2,19292,1185,11085,2076,0.6358501455444959
37,300,6,3,3,19477,1205,10900,2056,0.6358286685310632
38,300,6,3,4,19329,1179,11048,2082,0.6373791221442626
39,300,6,3,5,19384,1191,10993,2070,0.636444485927973
40,300,6,4,1,19456,1196,10921,2065,0.6368629570801849
41,300,6,4,2,19541,1218,10836,2043,0.6348888435087082
42,300,6,4,3,19574,1211,10803,2050,0.6365053080224181
43,300,6,4,4,19440,1199,10937,2062,0.6361396183342403
44,300,6,4,5,19587,1216,10790,2045,0.6359526497016734
45,300,6,5,1,19635,1220,10742,2041,0.6361294123363178
46,300,6,5,2,19864,1247,10513,2014,0.6357588770704913
47,300,6,5,3,19473,1198,10904,2063,0.6368361196464785
48,300,6,5,4,19393,1200,10984,2061,0.635212679519945
49,300,6,5,5,19467,1205,10910,2056,0.6356640703153079
50,300,6,6,1,19516,1212,10861,2049,0.6353973111707918
51,300,6,6,2,19456,1201,10921,2060,0.6360963210789583
52,300,6,6,3,19479,1203,10898,2058,0.6361682425747051
53,300,6,6,4,19452,1203,10925,2058,0.6357238273921655
54,300,6,6,5,19638,1223,10739,2038,0.6357188102003085
55,300,6,7,1,19653,1219,10724,2042,0.6365790163249226
56,300,6,7,2,19475,1207,10902,2054,0.6354890944874214
57,300,6,7,3,19316,1193,11061,2068,0.6350185636603461
58,300,6,7,4,19463,1203,10914,2058,0.6359048854294965
59,300,6,7,5,19432,1198,10945,2063,0.6361612669618815
60,300,7,2,1,19940,1235,10437,2026,0.6388497499131759
61,300,7,2,2,19992,1233,10385,2028,0.6400123150355943
62,300,7,2,3,19929,1230,10448,2031,0.6394353278770716
63,300,7,2,4,19786,1220,10591,2041,0.6386148453942234
64,300,7,2,5,19591,1200,10786,2061,0.6384717241919007
65,300,7,3,1,19917,1233,10460,2028,0.6387778284174291
66,300,7,3,2,19882,1225,10495,2036,0.6394283522642481
67,300,7,3,3,19810,1217,10567,2044,0.6394698627127722
68,300,7,3,4,19791,1225,10586,2036,0.6379305085008745
69,300,7,3,5,19801,1225,10576,2036,0.6380951067166298
70,300,7,4,1,19998,1218,10379,2043,0.6424109819687274
71,300,7,4,2,19955,1238,10422,2023,0.6386366656360729
72,300,7,4,3,19883,1218,10494,2043,0.6405181024875408
