,cs,classw,TN,FN,FP,TP,roc_auc
0,,1:1,24305,2605,0,0,0.5
1,,1:2,24262,2583,43,22,0.5033380571045901
2,,1:3,23885,2428,420,177,0.52533293110862
3,,1:4,22885,2091,1420,514,0.5694443336659321
4,,1:5,21629,1814,2676,791,0.5967730153546915
5,,1:6,20464,1589,3841,1016,0.6159929336909657
6,,1:7,19131,1396,5174,1209,0.6256147384822046
7,,1:8,17878,1207,6427,1398,0.6361145408577258
8,,1:9,16692,1088,7613,1517,0.6345569598761105
9,,1:10,15552,977,8753,1628,0.6324101776014273
10,,1:11,14430,837,9875,1768,0.6361999083148773
11,,1:12,13367,740,10938,1865,0.6329500221315726
12,,1:13,12262,630,12043,1975,0.6313313177347536
13,,1:14,10998,532,13307,2073,0.6241384184750655
14,,1:15,10289,488,14016,2117,0.6179982397404071
15,,1:1,24305,2605,0,0,0.5
16,,1:2,24262,2583,43,22,0.5033380571045901
17,,1:3,23886,2428,419,177,0.5253535030074062
18,,1:4,22842,2072,1463,533,0.5722065750315587
19,,1:5,21888,1833,2417,772,0.5984543041268966
20,,1:6,20491,1591,3814,1014,0.6161644977988858
21,,1:7,19166,1402,5139,1203,0.6251831234617965
22,,1:8,17908,1228,6397,1377,0.6327009876485689
23,,1:9,16711,1092,7594,1513,0.6341800716344315
24,,1:10,15583,986,8722,1619,0.6313204592469105
25,,1:11,14503,853,9802,1752,0.6346306396518019
26,,1:12,13347,720,10958,1885,0.6363773557489375
27,,1:13,12127,635,12178,1970,0.6275944185003363
28,,1:14,11229,568,13076,2037,0.6219807382271287
29,,1:15,10562,527,13743,2078,0.6161287635025297
30,,1:1,24305,2605,0,0,0.5
31,,1:2,24261,2583,44,22,0.5033174852058039
32,,1:3,23886,2428,419,177,0.5253535030074062
33,,1:4,23026,2104,1279,501,0.5698497698592858
34,,1:5,21634,1819,2671,786,0.5959161819503503
35,,1:6,20485,1607,3820,998,0.6129700491316961
36,,1:7,19162,1400,5143,1205,0.6254847130259604
37,,1:8,17864,1204,6441,1401,0.6364023500136817
38,,1:9,16715,1098,7590,1507,0.6331107277516493
39,,1:10,15547,986,8758,1619,0.6305798708906053
40,,1:11,14444,849,9861,1756,0.6341846519420307
41,,1:12,13316,735,10989,1870,0.632860548191746
42,,1:13,12138,622,12167,1983,0.6303159109224937
43,,1:14,11347,580,12958,2025,0.6221049593280531
44,,1:15,10344,495,13961,2110,0.6177861241160698
45,,1:1,24305,2605,0,0,0.5
46,,1:2,24178,2544,127,61,0.5090956222130704
