AGE,EDUCATION,HOUSEHOLD,CHILDREN,HEALTH_SATIS,SELF_SATIS,PERSONAL_SATIS,FRIEND_SATIS,LIVING_SATIS,OVERALL_SATIS,DEPRESSED,PAIN,SLEEP_HOURS,SLEEP_QUALITY,EXPERIENCE,MINUTES_WORK,MONTH_INCOME,MIGRANT,JOB_SATIS,U-INDEX,OCCUP
30,0,5,3,3,3,4,2,4,4,1,1,480,3,24,540,1200,0,5,0.56,0
40,0,5,5,5,2,2,2,2,2,1,1,480,1,120,780,1600,0,2,0.5,0
30,7,5,3,3,2,2,1,5,2,0,0,420,1,54,600,1200,0,1,0,0
30,0,5,4,2,1,1,1,4,4,0,1,480,1,96,600,1200,1,4,0.07,0
30,0,5,3,3,1,2,3,3,4,1,0,480,3,24,540,1500,0,2,0.82,0
40,0,10,3,1,1,1,1,1,1,1,1,330,3,180,480,1000,0,5,0.9,0
28,2,5,3,2,2,1,1,1,1,0,0,480,2,186,600,1500,0,2,0,0
28,7,5,3,2,2,1,1,5,2,0,0,480,1,12,600,1500,1,3,0,0
40,0,5,4,4,3,5,1,4,4,0,1,450,3,12,540,1200,0,4,0.14,0
30,3,5,2,1,2,2,2,1,2,0,0,390,3,12,540,1000,1,2,0,0
30,0,5,3,3,2,1,1,1,5,1,0,480,4,180,480,2000,0,2,0.45,0
20,0,5,0,1,1,1,1,1,1,0,0,660,1,300,540,1000,0,1,0,0
18,7,5,0,5,1,5,4,5,5,1,1,600,3,240,600,1200,1,1,0.74,0
30,2,3,1,2,3,2,1,2,3,1,1,540,2,24,600,2000,0,5,1,0
19,7,5,,4,1,1,1,5,3,0,0,480,2,300,600,1200,1,4,0.17,0
30,7,5,4,4,1,1,2,4,1,0,0,450,1,144,540,1200,0,2,0.02,0
16,7,5,0,1,1,1,2,2,1,0,0,540,2,12,600,1500,1,2,0.05,0
30,0,5,4,1,1,1,1,2,1,1,1,150,4,120,540,1200,1,2,0.08,0
30,0,5,3,4,1,1,1,3,4,0,1,270,3,24,600,1500,1,4,0.07,0
30,0,6,4,3,3,1,2,2,2,0,1,420,1,1,780,1500,0,1,0,0
24,0,3,1,2,2,2,,1,1,0,0,480,1,120,630,1500,0,2,0,0
25,0,4,2,1,1,1,1,5,4,1,0,420,3,120,600,1500,0,4,0.22,0
22,0,4,3,2,2,1,1,3,5,0,0,510,1,18,600,1500,0,5,0,0
40,0,5,4,5,4,3,5,5,5,1,1,120,5,24,525,1500,0,4,1,0
25,0,2,1,2,2,1,2,2,3,1,1,540,3,12,600,1200,0,5,0.71,0
25,0,8,2,2,2,2,2,2,2,1,0,480,3,18,540,1500,0,2,0,0
35,0,7,5,2,2,2,1,2,2,1,1,240,3,12,600,1500,0,4,1,0
35,0,6,4,1,1,1,1,1,1,1,1,420,2,24,180,1000,0,2,0,0
17,7,3,0,4,4,2,3,5,3,1,1,420,5,60,540,3000,0,3,0.5,0
